time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/clip_fraction,train/n_updates,train/value_loss,train/std,train/loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/entropy_loss,train/clip_range
548,766.12,460,1884160,1299.1984255099999,3435,0.134130859375,4590,0.6107954673469067,0.9938751459121704,0.30652257800102234,0.631960541009903,-0.007004623071406968,0.012457574,0.0003,-5.487667202949524,0.2
549,765.89,461,1888256,1297.05729465,3436,0.1288330078125,4600,0.12637945843744092,0.9950562119483948,0.014388632029294968,0.618504673242569,-0.005060574796516448,0.010815297,0.0003,-5.489881283044815,0.2
550,761.84,462,1892352,1294.93654715,3437,0.1365478515625,4610,0.8133155573159456,0.9990038275718689,0.2784273326396942,0.3175773024559021,-0.007126623898511752,0.01338518,0.0003,-5.500310164690018,0.2
551,742.92,463,1896448,1255.77344329,3438,0.097607421875,4620,0.29635976450517776,1.0012943744659424,0.03680209070444107,0.6156845092773438,-0.004148542476468719,0.009167448,0.0003,-5.511514747142792,0.2
552,705.79,464,1900544,1178.66224178,3439,0.115283203125,4630,0.4784143537282944,1.003496527671814,0.2828870117664337,0.6453050673007965,-0.0071078336390201,0.01017322,0.0003,-5.520876955986023,0.2
553,715.31,465,1904640,1198.6533926500001,3441,0.09580078125,4640,0.38586530908942224,0.9998496770858765,0.09565824270248413,0.6435366272926331,-0.0038127779465867207,0.008092314,0.0003,-5.52027074098587,0.2
554,715.68,466,1908736,1198.90179942,3442,0.1330078125,4650,0.47246013656258584,0.9946717023849487,0.296039879322052,0.031093835830688477,-0.005150524634518661,0.009994088,0.0003,-5.500208431482315,0.2
555,704.91,467,1912832,1176.99160313,3443,0.0876220703125,4660,0.48239816874265673,0.9952913522720337,0.17950132489204407,0.2390480637550354,-0.003377759744762443,0.008632055,0.0003,-5.491164511442184,0.2
556,710.68,468,1916928,1181.9013299300002,3445,0.12314453125,4670,0.5183736279606819,0.9887205362319946,0.17561805248260498,0.4353417754173279,-0.0062683799958904276,0.009250013,0.0003,-5.480323672294617,0.2
557,710.68,469,1921024,1182.30146502,3446,0.1125,4680,0.5220955576747656,0.9905588626861572,0.20333701372146606,0.11248475313186646,-0.005035205752938055,0.010420195,0.0003,-5.467363655567169,0.2
558,701.28,470,1925120,1163.07541999,3447,0.1475830078125,4690,0.3428800110705197,0.985581636428833,0.10318949818611145,0.053407490253448486,-0.004931798035977408,0.012612783,0.0003,-5.461832815408707,0.2
559,710.85,471,1929216,1182.68932034,3447,0.1638427734375,4700,0.5725688969716429,0.9866648316383362,0.2512877583503723,0.34510505199432373,-0.004550506433588453,0.01569667,0.0003,-5.454264742136002,0.2
560,710.85,472,1933312,1183.26389642,3448,0.10859375,4710,0.46487326752394437,0.9916002750396729,0.17830248177051544,0.004907786846160889,-0.002465674962149933,0.009433723,0.0003,-5.4672366857528685,0.2
561,700.5,473,1937408,1164.3788372800002,3449,0.1635986328125,4720,0.4678583361208439,0.9903668165206909,0.15059956908226013,-0.0213545560836792,-0.007136643410194665,0.010667037,0.0003,-5.4758441865444185,0.2
562,717.89,474,1941504,1200.7822666300003,3450,0.112451171875,4730,0.4836647355929017,0.9906246662139893,0.2651614844799042,0.3198980689048767,-0.004184915601217654,0.008207913,0.0003,-5.472286832332611,0.2
563,736.8,475,1945600,1238.84261113,3451,0.1345947265625,4740,0.4628268502652645,0.9923037886619568,0.22925353050231934,0.2988705039024353,-0.006765602933592163,0.013316681,0.0003,-5.4784127414226536,0.2
564,741.24,476,1949696,1252.8267669400002,3452,0.1304443359375,4750,0.4749849608168006,0.9908820390701294,0.07846217602491379,0.013660430908203125,-0.00458511364122387,0.008968843,0.0003,-5.479266130924225,0.2
565,767.57,477,1953792,1307.75054054,3453,0.1455322265625,4760,0.4762706346809864,0.9949765205383301,0.12299526482820511,0.24856412410736084,-0.005258529901038855,0.012275323,0.0003,-5.4821883022785185,0.2
566,775.3,478,1957888,1322.58188623,3454,0.10732421875,4770,0.5662730103358626,0.9951464533805847,0.2181485891342163,0.3108872175216675,-0.005671233867178671,0.010666552,0.0003,-5.492455250024795,0.2
567,775.64,479,1961984,1323.31220977,3456,0.1613037109375,4780,0.5254930881783366,0.9927138090133667,0.22624680399894714,0.20337802171707153,-0.008210131991654634,0.013308239,0.0003,-5.490568006038666,0.2
568,766.02,480,1966080,1305.82735861,3457,0.09462890625,4790,0.47086857687681916,0.9956148862838745,0.06972626596689224,0.30586880445480347,-0.004314125036762562,0.007324218,0.0003,-5.490548372268677,0.2
569,800.86,481,1970176,1378.95797435,3458,0.101123046875,4800,0.4115466209128499,1.002032995223999,0.22678938508033752,0.3589218258857727,-0.005331836169352755,0.0060611386,0.0003,-5.505504697561264,0.2
